"","x"
"1","Financial District"
"2","Amesbury/Ipswich"
"3","Attleboro/New Bedford"
"4","Back Bay"
"5","Brighton/Allston/Fenway"
"6","Burlington/Woburn"
"7","Charlestown/East Boston"
"8","Chelsea/Revere"
"9","Concord/Maynard"
"10","Danvers/Beverly"
"11","E Cambridge/Kendall Sq"
"12","Essex/Gloucester"
"13","Fitchburg/Leominster"
"14","Framingham/Natick"
"15","Groton/Townsend"
"16","Hopkinton/Holliston"
"17","I-95 Corridor South"
"18","Lawrence/Andover"
"19","Lexington/Arlington"
"20","Lowell/Chelmsford"
"21","Lynnfield/Wakefield"
"22","Medford/Malden"
"23","Mid-Cambridge/Harvard Sq"
"24","Midtown"
"25","Newton/Brookline"
"26","North End/Waterfront"
"27","North Station/Beacon Hill"
"28","Peabody/Salem"
"29","Quincy/Braintree"
"30","Rockingham"
"31","Route 1 South"
"32","Route 24"
"33","Route 3 Corridor"
"34","Route 3 South"
"35","Roxbury/Dorchester"
"36","Saugus/Lynn"
"37","Seaport"
"38","Somerville/Everett"
"39","South Boston"
"40","South End"
"41","South Suffolk County"
"42","Strafford County"
"43","The Boroughs"
"44","W Cambridge/Alewife"
"45","Waltham/Watertown"
"46","Wellesley/Needham"
"47","Wilmington/Reading"
