"PropertyID","AskingRate","QuarterOff","BldgClass","ST","Quarters","ListAge","Floor","AvgSqft","Latitude","Longitude","LeaseTermTypeID","LeaseTermLow","LeaseTermHigh","SubmarketName","SpaceForLeaseID"
679773,12.5,"2006Q3","2_ClassB","1_Net",0,21,2,5900,42.7072146,-71.2153041,1,3,5,"Lawrence/Andover",1710389
679773,12.5,"2006Q3","2_ClassB","1_Net",1,21,2,9600,42.7072146,-71.2153041,1,3,5,"Lawrence/Andover",1710407
213322,45,"2010Q1","2_ClassB","1_Net",14,0,1,3000,42.6569989,-71.1404181,5,NA,NA,"Lawrence/Andover",1796393
213331,16,"2008Q4","2_ClassB","2_Between",0,12,2,1943,42.655714,-71.14604,1,3,5,"Lawrence/Andover",3590414
6134942,14,"2010Q2","2_ClassB","3_FullService",1,55,1,735,42.7087575,-71.1636148,1,2,2,"Lawrence/Andover",4669344
6134942,14,"2010Q2","2_ClassB","3_FullService",1,55,1,508,42.7087575,-71.1636148,1,2,2,"Lawrence/Andover",4669374
6134942,14,"2010Q2","2_ClassB","3_FullService",1,55,3,700,42.7087575,-71.1636148,1,2,2,"Lawrence/Andover",4669375
213210,16,"2005Q4","3_ClassC","1_Net",1,16,1,1350,42.5953162,-71.0162864,5,NA,NA,"Lawrence/Andover",1214532
622747,13.5,"2006Q2","3_ClassC","3_FullService",2,18,2,800,42.729825,-71.2068798,1,3,3,"Lawrence/Andover",1270025
522215,19.17,"2006Q3","2_ClassB","1_Net",1,5,3,1368,42.6640433,-71.1167662,5,NA,NA,"Lawrence/Andover",1581940
1045003,8.5,"2006Q3","2_ClassB","2_Between",0,96,7,4600,42.7744786,-71.0850177,5,NA,NA,"Lawrence/Andover",1735378
213175,16.95,"2008Q1","2_ClassB","2_Between",1,12,2,3512,42.6272845,-71.158137,5,NA,NA,"Lawrence/Andover",2696539
213175,16.95,"2008Q1","2_ClassB","2_Between",1,12,2,3499,42.6272845,-71.158137,5,NA,NA,"Lawrence/Andover",2696538
212982,20.5,"2009Q1","2_ClassB","2_Between",15,24,2,4900,42.6868533,-71.2099229,5,NA,NA,"Lawrence/Andover",2388001
213212,14.5,"2009Q3","2_ClassB","2_Between",2,23,1,2200,42.774266,-71.078333,1,3,5,"Lawrence/Andover",3855458
213175,9.95,"2010Q1","2_ClassB","3_FullService",9,12,4,1799,42.6272845,-71.158137,5,NA,NA,"Lawrence/Andover",2696540
213212,12.5,"2010Q2","2_ClassB","2_Between",5,23,1,2887,42.774266,-71.078333,1,3,5,"Lawrence/Andover",3855531
213996,16.67,"2010Q2","3_ClassC","3_FullService",5,27,1,1800,42.6624533,-71.1452313,5,NA,NA,"Lawrence/Andover",3820347
