GeographyID,CBSAID,GeographyCode,GeographyName,GeographyDescription,OfficeTier,WarehouseTier,RetailTier
1,10420,AKRO,Akron,Akron OH,3,3,3
2,10580,ALBA,Albany,Albany-Schenectady-Troy NY,3,3,3
3,10740,ALBU,Albuquerque,Albuquerque NM,3,3,3
5,11260,ANCH,Anchorage,Anchorage AK,3,3,3
6,11300,ANIN,Anderson IN,Anderson IN ,3,3,3
7,11340,ANDE,Anderson SC,Anderson SC,3,3,3
8,11460,ANNA,Ann Arbor,Ann Arbor MI,3,3,3
9,11540,APPL,Appleton,Appleton WI,3,3,3
10,11700,ASHE,Asheville,Asheville NC,3,3,3
11,12060,ATLA,Atlanta,Atlanta-Sandy Springs-Marietta GA,1,1,1
12,12100,ATLC,Atlantic City,Atlantic City-Hammonton NJ,3,3,3
13,12260,AUGU,Augusta,Augusta-Richmond County GA-SC,3,3,3
14,12420,AUST,Austin,Austin-Round Rock-San Marcos TX,1,2,1
15,12540,BAKE,Bakersfield,Bakersfield-Delano CA ,3,3,3
16,12580,BALT,Baltimore,Baltimore-Towson MD,1,1,1
17,12940,BATO,Baton Rouge,Baton Rouge LA,3,3,3
18,12980,BATT,Battle Creek,Battle Creek MI,3,3,3
19,13140,BEAU,Beaumont,Beaumont-Port Arthur TX,3,3,3
20,13460,BEND,Bend,Bend OR,3,3,3
21,13820,BHAM,Birmingham,Birmingham-Hoover AL,3,3,3
22,14260,BOIS,Boise,Boise City-Nampa ID,3,3,3
23,14460,BOST,Boston,Boston-Cambridge-Quincy MA-NH,1,2,1
24,14500,BOUL,Boulder,Boulder CO,3,3,3
25,14740,BREM,Bremerton,Bremerton-Silverdale WA,3,3,3
27,15380,BUFF,Buffalo,Buffalo-Niagara Falls NY,3,3,3
28,15500,BURL,Burlington,Burlington NC,3,3,3
29,15940,CANT,Canton,Canton-Massillon OH,3,3,3
32,16700,CHRS,Charleston SC,Charleston-North Charleston-Summerville SC,3,3,3
31,16620,CHLT,Charleston WV,Charleston WV,3,3,3
33,16740,CHAR,Charlotte,Charlotte-Gastonia-Rock Hill NC-SC,1,2,1
34,16860,CHAT,Chattanooga,Chattanooga TN-GA,3,3,3
35,16980,CHIC,Chicago,Chicago-Joliet-Naperville IL,1,1,1
36,17140,CINC,Cincinnati,Cincinnati-Middletown OH-KY-IN,2,1,2
37,17300,CLAR,Clarksville,Clarksville TN-KY,3,3,3
38,17460,CLEV,Cleveland,Cleveland-Elyria-Mentor OH,2,2,2
39,17820,COLO,Colorado Springs,Colorado Springs CO,3,3,3
40,17900,COLB,Columbia,Columbia SC,3,3,3
41,17980,COGA,Columbus GA,Columbus GA-AL,3,3,3
42,18140,COLU,Columbus OH,Columbus OH,2,1,2
43,18580,CORP,Corpus Christi,Corpus Christi TX,3,3,3
44,19100,DALL,Dallas - Fort Worth,Dallas-Fort Worth-Arlington TX,1,1,1
45,19340,DAVE,Davenport,Davenport-Moline-Rock Island IA-IL,3,3,3
46,19380,DAYT,Dayton,Dayton OH,3,3,3
47,19660,DABE,Daytona Beach,Deltona-Daytona Beach-Ormond Beach FL,3,3,3
48,19740,DENV,Denver,Denver-Aurora-Broomfield CO,1,1,1
49,19780,DESM,Des Moines,Des Moines-West Des Moines IA,3,3,3
50,19820,DETR,Detroit,Detroit-Warren-Livonia MI,2,2,2
51,20100,DOVE,Dover,Dover DE,3,3,3
52,20260,DULU,Duluth,Duluth MN-WI,3,3,3
53,20500,DURH,Durham,Durham-Chapel Hill NC,3,3,3
133,36084,EAST,East Bay,Oakland-Fremont-Hayward CA,1,1,2
54,20764,EDIS,Edison,Edison-New Brunswick NJ,3,1,3
56,21340,ELPA,El Paso,El Paso TX,3,3,3
55,21140,ELKH,Elkhart,Elkhart-Goshen IN,3,3,3
57,21500,ERIE,Erie,Erie PA,3,3,3
58,21660,EUGE,Eugene,Eugene-Springfield OR,3,3,3
59,21780,EVAN,Evansville,Evansville IN-KY,3,3,3
61,22220,FAAR,Fayetteville AR,Fayetteville-Springdale-Rogers AR-MO,3,3,3
60,22180,FAYE,Fayetteville NC,Fayetteville NC,3,3,3
62,22420,FLIN,Flint,Flint MI,3,3,3
63,22540,FOND,Fond du Lac,Fond du Lac WI,3,3,3
64,22660,FOCO,Fort Collins,Fort Collins-Loveland CO,3,3,3
65,22744,FORT,Fort Lauderdale,Fort Lauderdale-Pompano Beach-Deerfield Beach FL,1,1,1
30,15980,FORM,Fort Myers,Cape Coral-Fort Myers FL,3,3,3
66,22900,FOAR,Fort Smith,Fort Smith AR-OK,3,3,3
67,23060,FOIN,Fort Wayne,Fort Wayne IN,3,3,3
68,23420,FRES,Fresno,Fresno CA,3,3,3
69,23580,GAIN,Gainesville,Gainesville GA,3,3,3
70,24340,GRAN,Grand Rapids,Grand Rapids-Wyoming MI,3,3,3
71,24540,GREL,Greeley,Greeley CO,3,3,3
72,24580,GREE,Green Bay,Green Bay WI,3,3,3
73,24660,GREB,Greensboro,Greensboro-High Point NC,3,3,3
74,24860,GREV,Greenville,Greenville-Mauldin-Easley SC,3,3,3
75,25180,HAGE,Hagerstown,Hagerstown-Martinsburg MD-WV,3,3,3
76,25420,HARR,Harrisburg,Harrisburg-Carlisle PA,3,1,3
77,25540,HART,Hartford,Hartford-West Hartford-East Hartford CT,2,2,2
78,25860,HICK,Hickory,Hickory-Lenoir-Morganton NC,3,3,3
79,26100,HOLL,Holland,Holland-Grand Haven MI,3,3,3
80,26180,HONO,Honolulu,Honolulu HI,2,2,2
