"","AskingRate","QuarterOff","BldgClass","ST","Quarters","ListAge","Floor","AvgSqft","Latitude","Longitude"
"1705654",20,"2010Q4","3_ClassC","3_FullService",5,31,1,900,41.6578664,-70.813443
"1739618",12,"2011Q1","2_ClassB","3_FullService",1,15,1,2000,41.827207,-70.558944
"1747893",14,"2010Q1","3_ClassC","1_Net",8,58,1,600,41.747918,-70.624842
"1751669",12,"2008Q1","2_ClassB","3_FullService",3,32,1,1500,41.8654649,-70.9526099
"1759987",18,"2011Q2","2_ClassB","3_FullService",6,18,2,932,41.8770808,-70.923474
"1763985",19.5,"2007Q1","2_ClassB","3_FullService",1,15,2,1313,41.8770808,-70.923474
"1763987",18,"2006Q4","2_ClassB","3_FullService",2,15,1,1380,41.8770808,-70.923474
"1763989",18,"2006Q4","2_ClassB","3_FullService",0,15,2,1300,41.8770808,-70.923474
"1764052",19,"2008Q1","2_ClassB","1_Net",3,16,2,2965,41.8770808,-70.923474
"1764053",18,"2011Q1","2_ClassB","3_FullService",2,19,1,2185,41.8770808,-70.923474
"1764054",18,"2005Q3","2_ClassB","3_FullService",7,12,2,1654,41.8770808,-70.923474
"1764259",22,"2010Q2","2_ClassB","3_FullService",9,17,2,1114,41.8770808,-70.923474
"1764260",18,"2006Q2","2_ClassB","3_FullService",0,15,1,1141,41.8770808,-70.923474
"1764262",18,"2005Q2","2_ClassB","3_FullService",2,13,1,1000,41.8770808,-70.923474
"1764263",18,"2006Q2","2_ClassB","3_FullService",4,14,1,1380,41.8770808,-70.923474
"1764282",14.41,"2010Q2","2_ClassB","2_Between",3,9,2,583,41.878398,-70.923205
"1766921",18.44,"2010Q1","2_ClassB","2_Between",2,9,2,2017,41.878398,-70.923205
"1766922",19.43,"2005Q3","2_ClassB","2_Between",1,5,1,494,41.878398,-70.923205
"1766924",10.5,"2009Q4","3_ClassC","2_Between",1,18,1,500,41.8819456,-70.9037147
"1777946",10,"2007Q2","2_ClassB","3_FullService",10,16,1,2500,41.875163,-70.9462899
"1780334",15,"2009Q2","3_ClassC","3_FullService",5,8,1,2700,41.9280997,-70.6608033
"1780343",11.5,"2005Q2","2_ClassB","3_FullService",2,16,2,1250,41.875163,-70.9462899
"1780344",10,"2008Q1","2_ClassB","2_Between",3,19,1,800,41.875163,-70.9462899
"1780345",10,"2010Q2","2_ClassB","2_Between",5,21,1,1000,41.875163,-70.9462899
"1782740",11.5,"2005Q2","2_ClassB","3_FullService",2,16,2,2500,41.875163,-70.9462899
"1782742",18,"2006Q2","3_ClassC","3_FullService",5,12,1,3324,41.8760295,-70.9213543
"1782763",15,"2010Q2","3_ClassC","1_Net",3,67,1,2100,41.7122792,-70.7713747
"1784733",9.63,"2011Q2","3_ClassC","2_Between",2,70,1,1184,41.7625239,-70.677857
"1784745",13.5,"2010Q1","2_ClassB","2_Between",3,20,1,1400,41.8831608,-70.9105265
"1784755",17,"2008Q4","2_ClassB","1_Net",9,7,2,3750,41.9501565,-70.7115623
"1784913",17.5,"2006Q4","2_ClassB","0_Unknown",1,7,1,1500,41.9501565,-70.7115623
"1784915",17.5,"2007Q2","2_ClassB","1_Net",3,7,2,2250,41.9501565,-70.7115623
"1785327",13.5,"2011Q4","2_ClassB","2_Between",1,22,1,2000,41.8831608,-70.9105265
"1788637",19,"2006Q4","3_ClassC","1_Net",3,27,1,1416,41.9597574,-70.6955935
"1790610",12,"2006Q2","3_ClassC","1_Net",1,27,1,1000,41.9597574,-70.6955935
"1790611",22,"2006Q2","1_ClassA","3_FullService",5,4,1,2940,41.9612137,-71.0363784
"1790616",20,"2008Q3","2_ClassB","2_Between",10,21,2,554,41.9654644,-70.6704978
"1790637",25,"2010Q2","2_ClassB","2_Between",4,24,1,1128,41.9654644,-70.6704978
"1790790",17.05,"2011Q2","3_ClassC","3_FullService",6,30,1,700,41.9597574,-70.6955935
"1790795",20,"2009Q4","2_ClassB","2_Between",5,23,2,1133,41.9654644,-70.6704978
"1790799",20,"2007Q4","2_ClassB","2_Between",10,20,2,2182,41.9654644,-70.6704978
"1790816",25,"2010Q2","2_ClassB","2_Between",7,23,1,1080,41.9654644,-70.6704978
