CBSAorDiv
10420
10580
10740
10900
11260
11300
11340
11460
11540
11700
12060
12100
12260
12420
12540
12580
12940
12980
13140
13460
13820
14260
14460
14500
14740
14860
15380
15500
15940
15980
16620
16700
16740
16860
16980
17140
17300
17460
17820
17900
17980
18140
18580
19100
19340
19380
19660
19740
19780
19820
20100
20260
20500
20764
21140
21340
21500
21660
21780
22180
22220
22420
22540
22660
22744
22900
23060
23420
23580
24340
24540
24580
24660
24860
25180
25420
25540
25860
26100
26180
26420
26580
26620
26900
27140
27260
27500
28020
28140
28660
28700
28940
29180
29460
29540
29620
29820
29940
30140
30460
30700
30780
31020
31084
31140
31180
31460
31540
31700
31900
32580
32820
33124
33340
33460
33660
33700
33780
33860
34620
34740
34820
34900
34940
34980
35004
35084
35300
35380
35644
35840
35980
36084
36100
36260
36420
36500
36540
36740
37100
37340
37860
37900
37980
38060
38300
38860
38900
38940
39100
39300
39340
39460
39540
39580
39740
39900
40060
40140
40220
40380
40420
40900
41180
41420
41500
41620
41700
41740
41780
41884
41940
42020
42044
42060
42100
42220
42340
42540
42660
43100
43340
43780
43900
44060
44140
44180
44220
44700
45060
45220
45300
45780
45940
46060
46140
46540
46700
47220
47260
47300
47900
48424
48620
48900
49180
49340
49420
49620
49660
