"Quarters","Rent_EW","Rent_VW"
"CBSAID","22660","IND"
"1999Q4","6.007148305731","5.090380324629"
"2000Q1","6.172709117854","5.728086746259"
"2000Q2","5.991365165717","5.689480705742"
"2000Q3","5.90405193888","5.681348665556"
"2000Q4","5.969403628659","5.616025363171"
"2001Q1","6.502170652705","5.928775226052"
"2001Q2","6.775169171224","6.068797302509"
"2001Q3","6.545324106804","5.913819916706"
"2001Q4","6.489092767529","5.927453203219"
"2002Q1","6.526542961378","5.922042713103"
"2002Q2","6.688476736903","5.944712163819"
"2002Q3","6.695239566653","6.021242190716"
"2002Q4","6.451746594617","5.974852584896"
"2003Q1","6.364826155093","5.889387049424"
"2003Q2","6.473525787615","6.098318575941"
"2003Q3","6.560630206935","6.296051430221"
"2003Q4","6.342021833817","6.160707952252"
"2004Q1","6.366466353452","5.923833343656"
"2004Q2","6.338844743244","5.929544174558"
"2004Q3","6.323073146191","5.788838888432"
"2004Q4","6.143285643075","5.840001992037"
"2005Q1","6.189918115105","5.997328031423"
"2005Q2","6.231400034354","5.582882285485"
"2005Q3","6.237151724738","5.669800792981"
"2005Q4","6.343981638093","5.740007254644"
"2006Q1","6.510358782778","6.026873563218"
"2006Q2","6.730429007124","6.314132035621"
"2006Q3","6.862582354127","6.169201828497"
"2006Q4","6.817632841876","6.402256154166"
"2007Q1","6.823519119426","6.46632048972"
"2007Q2","6.737333874403","6.425306654608"
"2007Q3","7.025495226691","6.720020751372"
"2007Q4","7.027868985725","6.869044413241"
"2008Q1","7.186917654233","7.371588482537"
"2008Q2","7.389421652211","7.494165304622"
"2008Q3","7.285837411796","7.447018191405"
"2008Q4","7.06693767963","6.93906453794"
"2009Q1","7.008568573325","6.825319496031"
"2009Q2","6.921801688117","6.80495983438"
"2009Q3","6.745019609763","6.660993765077"
"2009Q4","6.626095031655","6.368879824548"
"2010Q1","7.015732167896","6.440632607551"
"2010Q2","6.873746365595","6.200071608807"
"2010Q3","6.691062139799","6.102669945231"
"2010Q4","6.38460780203","5.931056431638"
"2011Q1","6.366809367448","6.090077417286"
"2011Q2","6.227695470592","5.978038734362"
"2011Q3","6.243400532572","6.123107950292"
"2011Q4","6.337163013212","6.116936465779"
"2012Q1","6.432245848721","6.381126896289"
"2012Q2","6.47944250443","6.45924946801"
