"Quarters","Rent_EW","Rent_VW"
"CBSAID","40220","IND"
"2006Q1","6.342857142857","5.704590200473"
"2006Q2","6.208749363219","5.684442345161"
"2006Q3","6.208749363219","5.684442345161"
"2006Q4","5.65452988415","5.064848232723"
"2007Q1","5.049209201819","3.642210700146"
"2007Q2","5.090337115974","3.688479819148"
"2007Q3","5.146453900947","4.398983334058"
"2007Q4","5.098691543186","4.422728228987"
"2008Q1","4.465569588285","3.52637043096"
"2008Q2","4.575659222236","3.563808428563"
"2008Q3","4.337201096758","3.456698346696"
"2008Q4","4.344773138769","3.5644560823"
"2009Q1","4.653793917659","3.306878509913"
"2009Q2","4.651171642302","3.343476887238"
"2009Q3","4.619900745366","3.403521259735"
"2009Q4","4.51413829934","3.33357636773"
"2010Q1","4.436284561822","2.955982864601"
"2010Q2","4.575680317425","3.081605706105"
"2010Q3","4.676316616975","3.068106485478"
"2010Q4","4.694688371623","3.041835937777"
"2011Q1","4.699767815899","3.004604127656"
"2011Q2","4.803378709036","3.047223842226"
"2011Q3","4.496605951521","2.774326997012"
"2011Q4","4.571195999518","2.737225912163"
"2012Q1","4.600015889363","2.929623367677"
"2012Q2","4.67611791827","3.111513034612"
