"Quarters","Rent_EW","Rent_VW"
"CBSAID","28660","IND"
"2006Q1","2.4","2.4"
"2006Q2","2.4","2.4"
"2006Q3","4.62","3.00690647482"
"2006Q4","4.45428399622","2.625184789929"
"2007Q1","5.518817180643","3.192658505603"
"2007Q2","4.995551443239","3.038594412345"
"2007Q3","4.89581816627","3.094486179057"
"2007Q4","5.090789516947","3.179284813137"
"2008Q1","5.192778484886","2.944933256766"
"2008Q2","4.708239656127","2.632685477641"
"2008Q3","4.166960783159","2.627366534795"
"2008Q4","4.088573640906","2.622722580507"
"2009Q1","4.572732947914","2.919927048607"
"2009Q2","4.475017127683","2.886044162087"
"2009Q3","4.581639828128","3.085583170156"
"2009Q4","4.632385860479","3.699940148606"
"2010Q1","4.728259484197","3.717364995022"
"2010Q2","4.737971572114","3.710434551862"
"2010Q3","4.654044346045","3.609366442425"
"2010Q4","4.550581296598","3.387991716679"
"2011Q1","4.7146705018","3.529156934379"
"2011Q2","4.396968949264","3.365478873525"
"2011Q3","4.270770089975","3.310781763734"
"2011Q4","4.852329787486","3.337033825907"
"2012Q1","5.341507624932","3.768033372887"
"2012Q2","5.358786436223","3.753589278683"
