"Quarters","Rent_EW","Rent_VW"
"CBSAID","27140","IND"
"2006Q1","3.25","3.25"
"2006Q2","3.083333333333","3.062957859417"
"2006Q3","3.3125","3.130638276357"
"2006Q4","4.025999752801","3.510327467451"
"2007Q1","4.610967622323","3.509249810064"
"2007Q2","4.673714232773","3.575498465282"
"2007Q3","4.446842056502","3.389398413187"
"2007Q4","5.203574267628","3.718241710507"
"2008Q1","5.083466397685","4.172704150005"
"2008Q2","5.046241323017","4.184701849227"
"2008Q3","4.917082074345","4.127545832691"
"2008Q4","4.885891537302","3.999074288927"
"2009Q1","4.898751131468","4.018723621602"
"2009Q2","5.303587939355","4.065605482107"
"2009Q3","5.25036508718","4.035547872166"
"2009Q4","5.23386877436","3.680420199423"
"2010Q1","5.222797049801","3.674723760456"
"2010Q2","4.896498557454","3.548733072442"
"2010Q3","4.925235081309","3.446406399071"
"2010Q4","4.88551677145","3.391530391437"
"2011Q1","4.87990470404","3.412658209808"
"2011Q2","4.98614095369","3.418578105152"
"2011Q3","4.90224039607","3.435764760052"
"2011Q4","4.897780305811","3.389193206225"
"2012Q1","4.722726859972","3.342469374763"
"2012Q2","4.738606920351","3.565809049813"
