"Quarters","Rent_EW","Rent_VW"
"CBSAID","35084","IND"
"1995Q2","4.913618117305","4.253817239197"
"1995Q3","4.868710558245","4.349033462497"
"1995Q4","5.035678032966","4.616099655763"
"1996Q1","5.04813052688","4.612442647944"
"1996Q2","5.02035751065","4.509708038766"
"1996Q3","5.257498173036","4.801694654946"
"1996Q4","5.317683343128","4.809761927117"
"1997Q1","5.111478762241","4.562627887692"
"1997Q2","5.111566195185","4.593013664692"
"1997Q3","5.123674754533","4.658371633927"
"1997Q4","5.198502679038","4.707502012364"
"1998Q1","5.077846516931","4.317150124993"
"1998Q2","5.287122613756","4.377455483134"
"1998Q3","5.353269535368","4.463416632741"
"1998Q4","5.374997821622","4.517517448559"
"1999Q1","5.548414504204","4.594287116287"
"1999Q2","5.591262448289","4.610518920208"
"1999Q3","5.692390296153","4.717024319733"
"1999Q4","5.757797261652","4.701107017592"
"2000Q1","5.711529674415","4.875162564371"
"2000Q2","5.720189972432","4.920261643792"
"2000Q3","5.869825001969","5.002650999284"
"2000Q4","6.1581463178","5.437076567586"
"2001Q1","6.403898101833","5.596648177095"
"2001Q2","6.453937861132","5.744058722343"
"2001Q3","6.443911797381","5.6567993108"
"2001Q4","6.55120533069","5.671920379893"
"2002Q1","6.447211428696","5.471402445106"
"2002Q2","6.528186725641","5.54718802681"
"2002Q3","6.692011264849","5.650832438747"
"2002Q4","6.706601813147","5.614089057645"
"2003Q1","6.731858552081","5.679812198922"
"2003Q2","6.457479350524","5.640011104631"
"2003Q3","6.579887297491","5.666977109511"
"2003Q4","6.46802217171","5.659908786557"
"2004Q1","6.339691388304","5.261277488635"
"2004Q2","6.357330550649","5.327119009175"
"2004Q3","6.424436467674","5.455100818151"
"2004Q4","6.550817963266","5.540215352845"
"2005Q1","6.593868410091","5.552827278513"
"2005Q2","6.652246121575","5.578203704192"
"2005Q3","6.6220295714","5.577455452066"
"2005Q4","6.737789262303","5.644158700635"
"2006Q1","6.990572884888","5.68838580457"
"2006Q2","7.033560238367","5.652545183284"
"2006Q3","7.149844086721","5.737282212282"
"2006Q4","7.409641721076","5.92960156752"
"2007Q1","7.534469754439","6.081719372016"
"2007Q2","7.626537640162","6.179509423614"
"2007Q3","7.706763972088","6.230439401319"
"2007Q4","7.686367881423","6.184317087399"
"2008Q1","7.756377627076","6.400078457936"
"2008Q2","7.81740301524","6.32501738264"
"2008Q3","7.799608868139","6.38667173287"
"2008Q4","7.841517553521","6.152591498262"
"2009Q1","7.720941657561","6.013711085801"
"2009Q2","7.65865540812","6.042958306937"
"2009Q3","7.592651043147","5.972495388374"
"2009Q4","7.495606838372","5.728505499338"
"2010Q1","7.315507652783","5.703651435266"
"2010Q2","7.283049421498","5.679854689519"
"2010Q3","7.244773354476","5.689765985534"
"2010Q4","7.237560735593","5.629074579664"
"2011Q1","7.167848096663","5.494434691141"
"2011Q2","7.012757211672","5.457969189496"
"2011Q3","7.014583794681","5.543681131381"
"2011Q4","7.030401855514","5.483000742308"
"2012Q1","6.984978825948","5.46111355713"
"2012Q2","7.100120619762","5.672545595736"
