"Quarters","Rent_EW","Rent_VW"
"CBSAID","49420","IND"
"2006Q1","4.448326872067","3.431006048287"
"2006Q2","7.24749515405","5.048672378726"
"2006Q3","7.24749515405","5.048672378726"
"2006Q4","6.74221467015","4.958948322405"
"2007Q1","5.411324530949","4.073943615305"
"2007Q2","6.029966503694","4.078325265636"
"2007Q3","6.132276772641","4.394857587976"
"2007Q4","5.874639869622","4.369964929539"
"2008Q1","5.614256769461","4.081932672234"
"2008Q2","5.328641560715","4.007963989306"
"2008Q3","5.513505247103","4.231714953029"
"2008Q4","6.015490701797","5.384126803207"
"2009Q1","5.387246320831","4.890165832718"
"2009Q2","5.562965245785","5.299344375027"
"2009Q3","5.461864758472","5.241184347888"
"2009Q4","4.792175461025","5.042249408811"
"2010Q1","4.670931226207","4.8565773324"
"2010Q2","4.283723821054","4.499815959638"
"2010Q3","4.056938635616","4.392451751449"
"2010Q4","4.251511487869","4.742231574751"
"2011Q1","4.638494162194","3.903314952135"
"2011Q2","5.101977497123","4.828223271055"
"2011Q3","5.498687900442","4.821608405946"
"2011Q4","5.310619977523","4.78882961501"
"2012Q1","5.223120872813","4.775153706606"
"2012Q2","5.267328944232","4.654417725185"
