"Quarters","Rent_EW","Rent_VW"
"CBSAID","49620","IND"
"1997Q3","4.375","4.045648060548"
"1997Q4","3.700000962352","3.453103295287"
"1998Q1","3.511976857274","3.119214149304"
"1998Q2","3.511976857274","3.119214149304"
"1998Q3","3.795076708618","3.159555489193"
"1998Q4","3.827307548889","3.198563162722"
"1999Q1","3.851946519333","3.17121357602"
"1999Q2","3.701877804385","3.186155122046"
"1999Q3","3.792602499185","3.204647014785"
"1999Q4","3.860402725374","3.424558212475"
"2000Q1","3.830627901849","3.621448656875"
"2000Q2","3.751227332424","3.489034373102"
"2000Q3","3.812822967079","3.364673297565"
"2000Q4","3.393103448275","3.26311151096"
"2001Q1","3.328667655996","3.25651494008"
"2001Q2","3.385666404283","3.392894789024"
"2001Q3","3.460937996205","3.450450473674"
"2001Q4","3.425001687589","3.437158490133"
"2002Q1","3.529657034581","4.130417642493"
"2002Q2","3.475866038186","3.685074560986"
"2002Q3","3.492595443819","3.29646268415"
"2002Q4","3.747779531178","3.51964909073"
"2003Q1","3.961601336675","3.640346490128"
"2003Q2","4.018926362002","3.82303222635"
"2003Q3","4.340639237356","3.843372747897"
"2003Q4","4.21734795466","3.786544724961"
"2004Q1","3.949769187376","3.765354065972"
"2004Q2","3.931804014194","3.78503306058"
"2004Q3","3.98792050185","3.681408298334"
"2004Q4","4.094804572065","3.706195031605"
"2005Q1","3.815410523037","3.604709798586"
"2005Q2","3.677369812863","3.583432015607"
"2005Q3","3.657017554461","3.821200274001"
"2005Q4","3.716773587409","3.83602759138"
"2006Q1","3.890915947645","3.777011717543"
"2006Q2","3.903698662392","3.86451782692"
"2006Q3","4.39550024827","3.89880696507"
"2006Q4","4.515370383129","3.882023754144"
"2007Q1","4.747138759479","3.738898754692"
"2007Q2","4.658995999002","3.762590464991"
"2007Q3","4.70215181468","3.84429907755"
"2007Q4","4.689623957223","3.916636772978"
"2008Q1","4.405956272302","3.911287470514"
"2008Q2","4.409558725472","3.947988880876"
"2008Q3","4.598360565848","4.041619881154"
"2008Q4","4.681808598701","4.12440148212"
"2009Q1","4.381715416617","3.962097531866"
"2009Q2","4.369929418879","3.880075903878"
"2009Q3","4.297975474181","3.774908428594"
"2009Q4","4.365518712659","3.639368035352"
"2010Q1","4.329805002104","3.620091474421"
"2010Q2","4.215240413357","3.49056085286"
"2010Q3","4.107748237191","3.426460759793"
"2010Q4","4.216731996454","3.443707928788"
"2011Q1","4.363883461356","3.7331270084"
"2011Q2","4.243014913418","3.712496976514"
"2011Q3","4.265484088102","3.72459456036"
"2011Q4","4.358727866991","3.928453950532"
"2012Q1","4.175009583443","3.938825670569"
"2012Q2","4.162980350333","4.043118426944"
