"Quarters","Rent_EW","Rent_VW"
"CBSAID","20500","IND"
"2000Q3","5.1375","6.346473217963"
"2000Q4","4.86071443998","5.623373126156"
"2001Q1","4.655263347345","4.842504896803"
"2001Q2","4.834211215462","4.221692310744"
"2001Q3","4.768948057567","4.153958650962"
"2001Q4","4.586191844081","4.109565648854"
"2002Q1","5.224800933385","4.202247597777"
"2002Q2","4.843430677173","4.105128118137"
"2002Q3","5.084004410977","4.286363967244"
"2002Q4","5.079394547295","4.215620144468"
"2003Q1","4.714892635408","4.167466536107"
"2003Q2","4.494502002327","3.829433282218"
"2003Q3","4.712566213828","3.88491304182"
"2003Q4","4.666734476919","3.885341682136"
"2004Q1","4.875832644818","4.051944598736"
"2004Q2","4.773213700704","4.067394679113"
"2004Q3","4.927325521101","4.092672328593"
"2004Q4","4.714106822584","4.165479117478"
"2005Q1","4.392931967399","3.630038178375"
"2005Q2","4.864104570149","3.629832902075"
"2005Q3","5.006285456432","3.846993332729"
"2005Q4","4.904573317945","3.691211436366"
"2006Q1","4.915409680921","3.537188586851"
"2006Q2","5.016078819946","3.553319408544"
"2006Q3","5.228606587763","3.574061973717"
"2006Q4","5.112334140871","3.877683616415"
"2007Q1","5.107097382171","4.025982205734"
"2007Q2","4.065763397113","3.590828201631"
"2007Q3","3.95246128638","3.668758739852"
"2007Q4","3.869321879027","3.766877048303"
"2008Q1","4.133678339516","4.123519700579"
"2008Q2","4.106591180154","3.855698555343"
"2008Q3","4.212791698968","3.886027862223"
"2008Q4","4.402016793224","4.000605604542"
"2009Q1","4.548149415471","4.142759366989"
"2009Q2","4.832184788089","4.883356231197"
"2009Q3","4.715312807512","4.345227340334"
"2009Q4","4.635053382422","4.332855481839"
"2010Q1","4.69412347744","4.286681998186"
"2010Q2","4.674190807381","4.350583005369"
"2010Q3","4.323434536211","3.705985009971"
"2010Q4","4.278249899409","3.601655529675"
"2011Q1","4.260999251492","3.469314837759"
"2011Q2","4.442625284449","3.57330033813"
"2011Q3","4.403313975482","3.547473659511"
"2011Q4","4.326638983966","3.445364788724"
"2012Q1","4.341287484506","3.461789062641"
"2012Q2","4.421087378407","3.472034899672"
