"PropertyID","QuarterOff","AskingRate","BldgClass","Latitude","Longitude","SubmarketName"
9061,"2005Q2",12,"3_ClassC",42.4634275,-70.9433493,"Saugus/Lynn"
9184,"2005Q2",15.75,"3_ClassC",42.6452208,-71.3097252,"Lowell/Chelmsford"
9196,"2005Q2",17.5,"1_ClassA",42.3409837,-71.5830821,"The Boroughs"
9452,"2005Q2",12.75,"2_ClassB",42.1605127,-71.113228,"Route 1 South"
9934,"2005Q2",27,"1_ClassA",42.3556124,-71.0575809,"Financial District"
41739,"2005Q2",29.5,"2_ClassB",42.3542993,-71.0565553,"Financial District"
41742,"2005Q2",40,"1_ClassA",42.3557852,-71.0519208,"Financial District"
49094,"2005Q2",9.85,"3_ClassC",42.376447,-71.2372568,"Waltham/Watertown"
49186,"2005Q2",17,"2_ClassB",42.2275779,-71.5239281,"Hopkinton/Holliston"
49337,"2005Q2",16.5,"3_ClassC",42.180143,-70.913842,"Route 3 Corridor"
53673,"2005Q2",33,"1_ClassA",42.3623819,-71.0813355,"E Cambridge/Kendall Sq"
53694,"2005Q2",33,"1_ClassA",42.3622566,-71.0797989,"E Cambridge/Kendall Sq"
85987,"2005Q2",32,"1_ClassA",42.3553015,-71.0567776,"Financial District"
85988,"2005Q2",34,"1_ClassA",42.3550167,-71.0566877,"Financial District"
92383,"2005Q2",12,"3_ClassC",42.2597278,-71.4655435,"Hopkinton/Holliston"
95833,"2005Q2",17,"2_ClassB",42.5602056,-71.4322534,"Lowell/Chelmsford"
212967,"2005Q2",13,"1_ClassA",42.578804,-70.911891,"Danvers/Beverly"
212975,"2005Q2",19,"1_ClassA",42.4703164,-71.0261186,"Saugus/Lynn"
213000,"2005Q2",16,"2_ClassB",42.457402,-70.948605,"Saugus/Lynn"
213058,"2005Q2",16.5,"2_ClassB",42.66157,-71.107768,"Lawrence/Andover"
213111,"2005Q2",12.6,"2_ClassB",42.7073099,-71.2131329,"Lawrence/Andover"
213113,"2005Q2",12,"1_ClassA",42.5642248,-70.9891046,"Danvers/Beverly"
213324,"2005Q2",22,"2_ClassB",42.661718,-71.1448724,"Lawrence/Andover"
213645,"2005Q2",17.5,"3_ClassC",42.458445,-70.949405,"Saugus/Lynn"
213658,"2005Q2",14.5,"3_ClassC",42.462987,-70.948378,"Saugus/Lynn"
213685,"2005Q2",15.95,"3_ClassC",42.512138,-71.0349439,"Lynnfield/Wakefield"
213741,"2005Q2",18.5,"1_ClassA",42.8173833,-70.8810885,"Amesbury/Ipswich"
213940,"2005Q2",14,"2_ClassB",42.5187227,-70.8877783,"Peabody/Salem"
214236,"2005Q2",25,"1_ClassA",42.300243,-71.349146,"Framingham/Natick"
214239,"2005Q2",19.5,"1_ClassA",42.46017,-71.384699,"Concord/Maynard"
214286,"2005Q2",19,"2_ClassB",42.4673129,-71.30566,"Concord/Maynard"
214290,"2005Q2",26,"1_ClassA",42.3637392,-71.079941,"E Cambridge/Kendall Sq"
214300,"2005Q2",23,"1_ClassA",42.303632,-71.377115,"Framingham/Natick"
214317,"2005Q2",15.95,"2_ClassB",42.486524,-71.209126,"Burlington/Woburn"
214323,"2005Q2",18.5,"1_ClassA",42.29763,-71.4803986,"Framingham/Natick"
214334,"2005Q2",18,"2_ClassB",42.487135,-71.205622,"Burlington/Woburn"
214336,"2005Q2",22,"1_ClassA",42.3643253,-71.0794652,"E Cambridge/Kendall Sq"
214360,"2005Q2",21,"1_ClassA",42.4948746,-71.1894926,"Burlington/Woburn"
214375,"2005Q2",19,"3_ClassC",42.4163,-71.15459,"Lexington/Arlington"
214403,"2005Q2",21,"2_ClassB",42.3965257,-71.1205584,"Somerville/Everett"
214447,"2005Q2",24,"2_ClassB",42.452726,-71.234493,"Lexington/Arlington"
214461,"2005Q2",30,"1_ClassA",42.3628084,-71.087392,"E Cambridge/Kendall Sq"
214488,"2005Q2",19,"2_ClassB",42.3337716,-71.5929621,"The Boroughs"
214497,"2005Q2",25,"1_ClassA",42.3547626,-71.2624076,"Concord/Maynard"
214554,"2005Q2",28,"1_ClassA",42.3952541,-71.1457329,"W Cambridge/Alewife"
214568,"2005Q2",24,"1_ClassA",42.3655059,-71.0926476,"E Cambridge/Kendall Sq"
214573,"2005Q2",18.5,"2_ClassB",42.5209365,-71.0491514,"Lynnfield/Wakefield"
214620,"2005Q2",23,"1_ClassA",42.3661782,-71.0924,"E Cambridge/Kendall Sq"
214663,"2005Q2",22,"1_ClassA",42.485462,-71.210722,"Burlington/Woburn"
214689,"2005Q2",18,"1_ClassA",42.4896405,-71.2236696,"Burlington/Woburn"
214693,"2005Q2",22,"1_ClassA",42.493707,-71.189662,"Burlington/Woburn"
214699,"2005Q2",24,"2_ClassB",42.394664,-71.2615104,"Waltham/Watertown"
214705,"2005Q2",15,"2_ClassB",42.477654,-71.099911,"Saugus/Lynn"
214706,"2005Q2",19,"2_ClassB",42.3908429,-71.0821479,"Somerville/Everett"
214715,"2005Q2",19,"2_ClassB",42.369935,-71.079627,"E Cambridge/Kendall Sq"
214743,"2005Q2",25,"1_ClassA",42.292143,-71.199915,"Newton/Brookline"
214771,"2005Q2",20,"1_ClassA",42.5015331,-71.1568144,"Burlington/Woburn"
214781,"2005Q2",17,"2_ClassB",42.5159176,-71.0872666,"Lynnfield/Wakefield"
214804,"2005Q2",16.5,"1_ClassA",42.5248862,-71.4307448,"Concord/Maynard"
214839,"2005Q2",22,"1_ClassA",42.485367,-71.212264,"Burlington/Woburn"
214926,"2005Q2",27,"1_ClassA",42.369648,-71.076738,"E Cambridge/Kendall Sq"
214961,"2005Q2",22,"1_ClassA",42.482358,-71.207581,"Burlington/Woburn"
214968,"2005Q2",18,"1_ClassA",42.407405,-71.075594,"Medford/Malden"
214985,"2005Q2",27,"1_ClassA",42.3628988,-71.0834295,"E Cambridge/Kendall Sq"
215046,"2005Q2",28,"1_ClassA",42.4063776,-71.2725912,"Waltham/Watertown"
215084,"2005Q2",23.25,"1_ClassA",42.36668,-71.091,"E Cambridge/Kendall Sq"
